,cramers_v
relationship_Husband,0.5805
marital.status_Married-civ-spouse,0.4335
relationship_Wife,0.3181
relationship_Unmarried,0.3179
hours.per.week,0.279
occupation_Adm-clerical,0.2672
occupation_Craft-repair,0.2262
marital.status_Divorced,0.2259
marital.status_Widowed,0.1889
marital.status_Never-married,0.1764
relationship_Not-in-family,0.1693
occupation_Other-service,0.1481
age,0.1405
capital.gain,0.1405
occupation_Transport-moving,0.1302
race_Black,0.1171
capital.loss,0.1163
workclass_Self-emp-not-inc,0.1079
relationship_Own-child,0.105
race_White,0.1041
marital.status_Separated,0.1033
occupation_Farming-fishing,0.1008
occupation_Handlers-cleaners,0.0964
education.num,0.0963
occupation_Priv-house-serv,0.0889
workclass_Self-emp-inc,0.0815
workclass_Private,0.0694
occupation_Protective-serv,0.0641
occupation_Prof-specialty,0.0621
education_Some-college,0.061
education_Prof-school,0.0503
relationship_Other-relative,0.0418
marital.status_Married-spouse-absent,0.0396
workclass_Local-gov,0.0384
occupation_Exec-managerial,0.0354
occupation_Machine-op-inspct,0.0299
education_Doctorate,0.0279
native.country_Mexico,0.0276
education_Bachelors,0.0266
education_7th-8th,0.0266
education_Assoc-acdm,0.0257
native.country_India,0.0257
workclass_State-gov,0.0232
native.country_Puerto-Rico,0.0206
native.country_Jamaica,0.0184
education_5th-6th,0.0172
native.country_Germany,0.0166
education_Assoc-voc,0.0165
occupation_Sales,0.0163
education_HS-grad,0.0151
race_Other,0.0141
native.country_Thailand,0.0141
occupation_Tech-support,0.0135
native.country_Trinadad&Tobago,0.0134
native.country_Cuba,0.0131
education_11th,0.013
native.country_Dominican-Republic,0.0123
education_9th,0.0119
marital.status_Married-AF-spouse,0.011
native.country_Haiti,0.0101
race_Amer-Indian-Eskimo,0.0094
native.country_Greece,0.0094
occupation_Armed-Forces,0.009
native.country_Iran,0.0085
native.country_Yugoslavia,0.0084
native.country_Peru,0.0065
native.country_Poland,0.0061
education_1st-4th,0.006
native.country_Outlying-US(Guam-USVI-etc),0.0058
native.country_China,0.0056
native.country_Scotland,0.005
native.country_Cambodia,0.005
native.country_Philippines,0.005
native.country_France,0.0049
education_Masters,0.0048
native.country_England,0.0046
native.country_South,0.0044
native.country_Columbia,0.0036
native.country_Hong,0.0036
native.country_Hungary,0.0034
native.country_Portugal,0.0029
native.country_Holand-Netherlands,0.0022
native.country_Taiwan,0.0022
native.country_Nicaragua,0.0022
native.country_Vietnam,0.0019
native.country_Ireland,0.0016
education_10th,0.0014
native.country_Honduras,0.0009
workclass_Federal-gov,0.0009
native.country_Canada,0.0008
native.country_Laos,0.0007
education_12th,0.0003
native.country_Japan,0.0001
native.country_Italy,0.0
native.country_Guatemala,0.0
native.country_El-Salvador,0.0
native.country_Ecuador,0.0
workclass_Never-worked,0.0
workclass_Without-pay,0.0
education_Preschool,0.0
native.country_United-States,0.0
race_Asian-Pac-Islander,0.0
